username,follower,following,favorite,tweets
januarrmdhn,482,223,6460,21402
dwidys_,189,125,275,2837
liayurh_,1017,442,418,17545
isnakhairi,260,354,9917,8075
agus_trianto,351,292,184,17485
iyaininajau,266,110,11076,3304
ovilsp,250,207,140,14374
virraaa_,921,215,2550,31490
baksopangsitnya,104,176,2798,2562
liawrdhani,214,111,247,14561
adinnda_ekhaa,1374,97,1367,27040
puteriroro,301,177,3034,14544
tahtaallfina,396,304,423,8393
meniaclosia,320,301,1072,8892
adityandr,207,245,410,1761
yulfaariza,269,160,162,12050
rohanahrey,304,321,2675,6416
sekarumn,494,537,10428,31685
joeniararief,6019,601,1000,13010
linggaralfi,575,354,4524,37881
hlutami,368,393,660,5943
r_fiika,220,141,1537,13247
hidadahida,244,272,191,1679
iphune,2967,427,275,74424
vanillasvgar,871,47,927,50599
kodelle_,784,301,922,7508
strybycy,86,310,3412,6956
phoebee_ip,248,74,61,10035
kalisnakal,697,443,1,28967
rpdelimaa,267,274,356,39614
iffamee,590,584,366,11921
lulufrdni,931,565,216,60794
shelfiw,537,309,94,26494
adityosusanto_,396,153,1240,43225
grestina,185,128,26,1414
nneninot1996,471,321,3641,11954
taritahir,916,666,955,66539
shafiraara,174,77,690,12669
dzakyhaidar__,479,488,3406,23265
granweastery,234,167,1381,14088
yuuta__96,665,569,2019,39201
egabetari,212,216,78,8699
lailapurnamas,660,669,13,4299
indraszlaila,179,177,4244,2322
devaina,475,567,329,16457
nidakarin,149,187,1,4410
fitriindy,284,113,3529,4396
isnanarahma,379,381,71,4065
pinochiao,981,1592,9685,19936
ramdaneinstein,307,542,84,1397
effendisgurl,382,152,1665,38634
mi_chiamo_joel,225,267,3611,14542
sfaui,143,287,973,5033
dikmabelarosa,178,134,534,2751
zea_mays07,209,300,1539,3472
ni,2260,1454,1372,4377
okkyskripsi,203,327,245,9249
nopiynovi,387,365,1336,9152
artikakristi,156,117,534,7713
ferrafbryn,3242,885,808,97966
amalinafitrah,387,206,1091,6988
salsabilabia,1589,465,3134,69032
indomilk,12627,2,236,1756
ibnubons,218,186,1397,9604
wequte,95,496,376,3342
jehademusa,1123,125,188,30007
qthrnnada,273,161,113,12114
hapsarihn,347,310,3485,21574
chuggingtonn,160,150,40,1888
naurakh,519,439,3184,34731
atikapuspi,90,46,14,4874
kissst__,574,276,457,17597
fitripratiwi_pn,374,168,749,8631
penguntitkmvrt,65,125,1070,2297
agustinurfika,674,318,39,10685
lenteeramerahh,339,469,956,6229
inimella1,124,130,2874,2308
adamumemo,403,391,13327,21766
astridvivianni,132,176,4944,745
ath_tobe,25,82,129,506
benrskbyg,23,28,967,2217
boboxsiang,0,70,1711,968
bojaktempur,37,80,309,735
citora_,85,119,177,899
dannytandean,507,500,3751,21698
driddv,60,55,3104,904
firmanoktaf,56,115,1541,669
jundie_m,61,87,3237,652
krisnawah,24,101,520,1258
leoagung98,112,182,610,1004
rahmanizar_,270,232,2224,647
riskaadesuryani,1424,877,7214,35122
semesta_human,13,70,352,558
siti_sr137,77,285,2220,1093
ariantipp,183,13,0,327
betyratih,204,122,981,7242
clarisahasya,85,127,241,4493
fhrz99,94,150,2578,621
fridamayanti,82,128,186,5293
esjaeruk,205,589,4219,7456
igonovaldi,79,112,562,1494
juliepuspita01,5,102,2467,634
khelian_ni_s,3,3,27,382
komalasari_ak,195,149,358,1281
melyst94,182,95,940,5435
nanasambara,58,163,1312,660
niazmi_,89,67,24,900
pipaaw,245,270,0,894
rotiisicoklat,1157,308,566,62740
salisnurk,407,415,41,1132
saraadaay,41,81,1159,977
siti89nurjanah,9,67,1161,781
susiindah16,27,63,2382,951
sweetenxerrrr,200,266,2066,11150
triaisharaa,87,176,387,986
trianeee_,42,85,529,5970
